,SURVEYID,DBN,SCHOOL,DISTRICT,BOROUGH,DATE_OF_TEST,TOTAL_TESTED,TOTAL_STUDENT,TOTAL_EMPLOYEE,PERC_OF_TEST_AVAILABLE,PERC_OF_POSITIVE_LAST_SURRVEY,POSTITVE_IN_LAST_SURVERY,POSITIVE_STUDENT_IN_LAST_SURVEY,POSITIVE_EMPLOYEE_IN_LAST_SURVEY,VOLUME,OVER_THRESHOLD,LAB,TEST_TYPE,DATE_OF_LATEST_REPORTING,AVG_TIME,MAX_TURNAROUND,high,middle,elem,elem2,date,,elem = not middle or high
25,28,08X182,P.S. 182,8,Bronx,2020-11-18T00:00:00,76,21,55,100%,1%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
26,29,31R001,P.S. 001 TOTTENVILLE,31,Staten Island,2020-11-18T00:00:00,74,40,34,99%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
27,30,24Q290,"A.C.E. ACADEMY FOR SCHOLARS, AT GERALDINE FERRARO",24,Queens,2020-11-18T00:00:00,73,32,41,100%,1%,1,1,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
28,31,75Q004A,Q004 @ Q138,75,Queens,2020-11-18T00:00:00,71,0,71,100%,3%,2,0,2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
29,32,29Q135,THE BELLAIRE SCHOOL,29,Queens,2020-11-18T00:00:00,69,23,46,99%,3%,2,0,2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
30,33,75X469G,X469 @ X855,75,Bronx,2020-11-18T00:00:00,69,20,49,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
31,34,29Q176,P.S. 176 CAMBRIA HEIGHTS,29,Queens,2020-11-18T00:00:00,68,38,30,100%,1%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
32,35,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,12,Bronx,2020-11-18T00:00:00,67,16,51,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
33,36,26Q178,P.S./ IS 178 HOLLISWOOD,26,Queens,2020-11-18T00:00:00,65,35,30,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
34,37,08X069,P.S. 069 JOURNEY PREP SCHOOL,8,Bronx,2020-11-18T00:00:00,65,21,44,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
